No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,Act.Mode,DT,ActivityX,ActivityY,ActivityZ,Temp [°C],AnimalID,GroupID
35,32883,8/20/2018,4:20:00 PM,8/20/2018,4:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,46,0,0,-22,N/A,N/A
36,32883,8/20/2018,4:25:00 PM,8/20/2018,4:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,37,0,0,-21,N/A,N/A
37,32883,8/20/2018,4:30:00 PM,8/20/2018,4:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,47,0,0,-21,N/A,N/A
38,32883,8/20/2018,4:35:00 PM,8/20/2018,4:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,45,0,0,-21,N/A,N/A
39,32883,8/20/2018,4:40:00 PM,8/20/2018,4:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,41,0,0,-20,N/A,N/A
40,32883,8/20/2018,4:45:00 PM,8/20/2018,4:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,46,0,0,-20,N/A,N/A
41,32883,8/20/2018,4:50:00 PM,8/20/2018,4:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,46,0,0,-20,N/A,N/A
42,32883,8/20/2018,4:55:00 PM,8/20/2018,4:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,44,0,0,-19,N/A,N/A
43,32883,8/20/2018,5:00:00 PM,8/20/2018,5:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,47,0,0,-19,N/A,N/A
44,32883,8/20/2018,5:05:00 PM,8/20/2018,5:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,47,0,0,-19,N/A,N/A
45,32883,8/20/2018,5:10:00 PM,8/20/2018,5:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,50,0,0,-18,N/A,N/A
46,32883,8/20/2018,5:15:00 PM,8/20/2018,5:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,50,0,0,-18,N/A,N/A
47,32883,8/20/2018,5:20:00 PM,8/20/2018,5:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,48,0,0,-17,N/A,N/A
48,32883,8/20/2018,5:25:00 PM,8/20/2018,5:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,50,0,0,-17,N/A,N/A
49,32883,8/20/2018,5:30:00 PM,8/20/2018,5:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,51,0,0,-17,N/A,N/A
50,32883,8/20/2018,5:35:00 PM,8/20/2018,5:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,55,0,0,-16,N/A,N/A
51,32883,8/20/2018,5:40:00 PM,8/20/2018,5:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,53,0,0,-16,N/A,N/A
52,32883,8/20/2018,5:45:00 PM,8/20/2018,5:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,52,0,0,-16,N/A,N/A
53,32883,8/20/2018,5:50:00 PM,8/20/2018,5:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,55,0,0,-15,N/A,N/A
54,32883,8/20/2018,5:55:00 PM,8/20/2018,5:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,56,0,0,-15,N/A,N/A
55,32883,8/20/2018,6:00:00 PM,8/20/2018,6:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,55,0,0,-15,N/A,N/A
56,32883,8/20/2018,6:05:00 PM,8/20/2018,6:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,59,0,0,-14,N/A,N/A
57,32883,8/20/2018,6:10:00 PM,8/20/2018,6:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,61,0,0,-14,N/A,N/A
58,32883,8/20/2018,6:15:00 PM,8/20/2018,6:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,64,0,0,-13,N/A,N/A
59,32883,8/20/2018,6:20:00 PM,8/20/2018,6:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,65,0,0,-13,N/A,N/A
60,32883,8/20/2018,6:25:00 PM,8/20/2018,6:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,65,0,0,-13,N/A,N/A
61,32883,8/20/2018,6:30:00 PM,8/20/2018,6:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,73,0,0,-12,N/A,N/A
62,32883,8/20/2018,6:35:00 PM,8/20/2018,6:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,71,0,0,-12,N/A,N/A
63,32883,8/20/2018,6:40:00 PM,8/20/2018,6:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,74,0,0,-12,N/A,N/A
64,32883,8/20/2018,6:45:00 PM,8/20/2018,6:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,75,0,0,-11,N/A,N/A
65,32883,8/20/2018,6:50:00 PM,8/20/2018,6:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,82,0,0,-11,N/A,N/A
66,32883,8/20/2018,6:55:00 PM,8/20/2018,6:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,81,0,0,-10,N/A,N/A
67,32883,8/20/2018,7:00:00 PM,8/20/2018,7:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,82,0,0,-10,N/A,N/A
68,32883,8/20/2018,7:05:00 PM,8/20/2018,7:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,82,0,0,-10,N/A,N/A
69,32883,8/20/2018,7:10:00 PM,8/20/2018,7:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,86,0,0,-9,N/A,N/A
70,32883,8/20/2018,7:15:00 PM,8/20/2018,7:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,89,0,0,-9,N/A,N/A
71,32883,8/20/2018,7:20:00 PM,8/20/2018,7:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,91,0,0,-9,N/A,N/A
72,32883,8/20/2018,7:25:00 PM,8/20/2018,7:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,93,0,0,-8,N/A,N/A
73,32883,8/20/2018,7:30:00 PM,8/20/2018,7:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,94,0,0,-8,N/A,N/A
74,32883,8/20/2018,7:35:00 PM,8/20/2018,7:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,96,0,0,-8,N/A,N/A
75,32883,8/20/2018,7:40:00 PM,8/20/2018,7:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,99,0,0,-7,N/A,N/A
76,32883,8/20/2018,7:45:00 PM,8/20/2018,7:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,99,0,0,-7,N/A,N/A
77,32883,8/20/2018,7:50:00 PM,8/20/2018,7:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,105,0,0,-6,N/A,N/A
78,32883,8/20/2018,7:55:00 PM,8/20/2018,7:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,106,0,0,-6,N/A,N/A
79,32883,8/20/2018,8:00:00 PM,8/20/2018,8:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,110,0,0,-6,N/A,N/A
80,32883,8/20/2018,8:00:00 PM,8/20/2018,8:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,148,0,0,-6,N/A,N/A
81,32883,8/20/2018,8:05:00 PM,8/20/2018,8:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,108,0,0,-5,N/A,N/A
82,32883,8/20/2018,8:10:00 PM,8/20/2018,8:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,121,0,0,-5,N/A,N/A
83,32883,8/20/2018,8:15:00 PM,8/20/2018,8:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,121,0,0,-5,N/A,N/A
84,32883,8/20/2018,8:20:00 PM,8/20/2018,8:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,126,0,0,-4,N/A,N/A
85,32883,8/20/2018,8:25:00 PM,8/20/2018,8:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,125,0,0,-4,N/A,N/A
86,32883,8/20/2018,8:30:00 PM,8/20/2018,8:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,128,0,0,-3,N/A,N/A
87,32883,8/20/2018,8:35:00 PM,8/20/2018,8:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,128,0,0,-3,N/A,N/A
88,32883,8/20/2018,8:40:00 PM,8/20/2018,8:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,127,0,0,-3,N/A,N/A
89,32883,8/20/2018,8:45:00 PM,8/20/2018,8:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,128,0,0,-2,N/A,N/A
90,32883,8/20/2018,8:50:00 PM,8/20/2018,8:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,129,0,0,-2,N/A,N/A
91,32883,8/20/2018,8:55:00 PM,8/20/2018,8:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,126,0,0,-2,N/A,N/A
92,32883,8/20/2018,9:00:00 PM,8/20/2018,9:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,127,0,0,-1,N/A,N/A
93,32883,8/20/2018,9:05:00 PM,8/20/2018,9:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,116,0,0,-1,N/A,N/A
94,32883,8/20/2018,9:10:00 PM,8/20/2018,9:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,124,0,0,0,N/A,N/A
95,32883,8/20/2018,9:15:00 PM,8/20/2018,9:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,113,0,0,0,N/A,N/A
96,32883,8/20/2018,9:20:00 PM,8/20/2018,9:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,97,0,0,0,N/A,N/A
97,32883,8/20/2018,9:25:00 PM,8/20/2018,9:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,123,0,0,0,N/A,N/A
98,32883,8/20/2018,9:30:00 PM,8/20/2018,9:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,121,0,0,0,N/A,N/A
99,32883,8/20/2018,9:35:00 PM,8/20/2018,9:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,116,0,0,0,N/A,N/A
100,32883,8/20/2018,9:40:00 PM,8/20/2018,9:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,117,0,0,1,N/A,N/A
101,32883,8/20/2018,9:45:00 PM,8/20/2018,9:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,120,0,0,1,N/A,N/A
102,32883,8/20/2018,9:50:00 PM,8/20/2018,9:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,115,0,0,2,N/A,N/A
103,32883,8/20/2018,9:55:00 PM,8/20/2018,9:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,115,0,0,2,N/A,N/A
104,32883,8/20/2018,10:00:00 PM,8/20/2018,10:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,110,0,0,2,N/A,N/A
105,32883,8/20/2018,10:05:00 PM,8/20/2018,10:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,103,0,0,3,N/A,N/A
106,32883,8/20/2018,10:10:00 PM,8/20/2018,10:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,102,0,0,3,N/A,N/A
107,32883,8/20/2018,10:15:00 PM,8/20/2018,10:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,100,0,0,4,N/A,N/A
108,32883,8/20/2018,10:20:00 PM,8/20/2018,10:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,94,0,0,4,N/A,N/A
109,32883,8/20/2018,10:25:00 PM,8/20/2018,10:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,92,0,0,4,N/A,N/A
110,32883,8/20/2018,10:30:00 PM,8/20/2018,10:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,89,0,0,5,N/A,N/A
111,32883,8/20/2018,10:35:00 PM,8/20/2018,10:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,88,0,0,5,N/A,N/A
112,32883,8/20/2018,10:40:00 PM,8/20/2018,10:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,85,0,0,5,N/A,N/A
113,32883,8/20/2018,10:45:00 PM,8/20/2018,10:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,86,0,0,6,N/A,N/A
114,32883,8/20/2018,10:50:00 PM,8/20/2018,10:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,81,0,0,6,N/A,N/A
115,32883,8/20/2018,10:55:00 PM,8/20/2018,10:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,82,0,0,7,N/A,N/A
116,32883,8/20/2018,11:00:00 PM,8/20/2018,11:00:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,78,0,0,7,N/A,N/A
117,32883,8/20/2018,11:05:00 PM,8/20/2018,11:05:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,76,0,0,7,N/A,N/A
118,32883,8/20/2018,11:10:00 PM,8/20/2018,11:10:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,75,0,0,8,N/A,N/A
119,32883,8/20/2018,11:15:00 PM,8/20/2018,11:15:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,75,0,0,8,N/A,N/A
120,32883,8/20/2018,11:20:00 PM,8/20/2018,11:20:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,73,0,0,8,N/A,N/A
121,32883,8/20/2018,11:25:00 PM,8/20/2018,11:25:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,71,0,0,9,N/A,N/A
122,32883,8/20/2018,11:30:00 PM,8/20/2018,11:30:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,70,0,0,9,N/A,N/A
123,32883,8/20/2018,11:35:00 PM,8/20/2018,11:35:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,71,0,0,9,N/A,N/A
124,32883,8/20/2018,11:40:00 PM,8/20/2018,11:40:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,73,0,0,10,N/A,N/A
125,32883,8/20/2018,11:45:00 PM,8/20/2018,11:45:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,71,0,0,10,N/A,N/A
126,32883,8/20/2018,11:50:00 PM,8/20/2018,11:50:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,74,0,0,11,N/A,N/A
127,32883,8/20/2018,11:55:00 PM,8/20/2018,11:55:00 PM,Collar,3/12/2019,7:55:31 PM,1,300,70,0,0,11,N/A,N/A
128,32883,8/21/2018,12:00:00 AM,8/21/2018,12:00:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,68,0,0,11,N/A,N/A
129,32883,8/21/2018,12:05:00 AM,8/21/2018,12:05:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,67,0,0,12,N/A,N/A
130,32883,8/21/2018,12:10:00 AM,8/21/2018,12:10:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,66,0,0,12,N/A,N/A
131,32883,8/21/2018,12:15:00 AM,8/21/2018,12:15:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,64,0,0,12,N/A,N/A
132,32883,8/21/2018,12:20:00 AM,8/21/2018,12:20:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,64,0,0,13,N/A,N/A
133,32883,8/21/2018,12:25:00 AM,8/21/2018,12:25:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,63,0,0,13,N/A,N/A
134,32883,8/21/2018,12:30:00 AM,8/21/2018,12:30:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,62,0,0,13,N/A,N/A
135,32883,8/21/2018,12:35:00 AM,8/21/2018,12:35:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,60,0,0,14,N/A,N/A
136,32883,8/21/2018,12:40:00 AM,8/21/2018,12:40:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,57,0,0,14,N/A,N/A
137,32883,8/21/2018,12:45:00 AM,8/21/2018,12:45:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,55,0,0,15,N/A,N/A
138,32883,8/21/2018,12:50:00 AM,8/21/2018,12:50:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,52,0,0,15,N/A,N/A
139,32883,8/21/2018,12:55:00 AM,8/21/2018,12:55:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,49,0,0,15,N/A,N/A
140,32883,8/21/2018,1:00:00 AM,8/21/2018,1:00:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,48,0,0,16,N/A,N/A
141,32883,8/21/2018,1:05:00 AM,8/21/2018,1:05:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,44,0,0,16,N/A,N/A
142,32883,8/21/2018,1:10:00 AM,8/21/2018,1:10:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,42,0,0,17,N/A,N/A
143,32883,8/21/2018,1:15:00 AM,8/21/2018,1:15:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,40,0,0,17,N/A,N/A
144,32883,8/21/2018,1:20:00 AM,8/21/2018,1:20:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,36,0,0,17,N/A,N/A
145,32883,8/21/2018,1:25:00 AM,8/21/2018,1:25:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,35,0,0,18,N/A,N/A
146,32883,8/21/2018,1:30:00 AM,8/21/2018,1:30:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,33,0,0,18,N/A,N/A
147,32883,8/21/2018,1:35:00 AM,8/21/2018,1:35:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,30,0,0,18,N/A,N/A
148,32883,8/21/2018,1:40:00 AM,8/21/2018,1:40:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,29,0,0,19,N/A,N/A
149,32883,8/21/2018,1:45:00 AM,8/21/2018,1:45:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,27,0,0,19,N/A,N/A
150,32883,8/21/2018,1:50:00 AM,8/21/2018,1:50:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,25,0,0,19,N/A,N/A
151,32883,8/21/2018,1:55:00 AM,8/21/2018,1:55:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,24,0,0,20,N/A,N/A
152,32883,8/21/2018,2:00:00 AM,8/21/2018,2:00:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,21,0,0,20,N/A,N/A
153,32883,8/21/2018,2:05:00 AM,8/21/2018,2:05:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,19,0,0,21,N/A,N/A
154,32883,8/21/2018,2:10:00 AM,8/21/2018,2:10:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,18,0,0,21,N/A,N/A
155,32883,8/21/2018,2:15:00 AM,8/21/2018,2:15:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,14,0,0,21,N/A,N/A
156,32883,8/21/2018,2:20:00 AM,8/21/2018,2:20:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,14,0,0,22,N/A,N/A
157,32883,8/21/2018,2:25:00 AM,8/21/2018,2:25:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,12,0,0,22,N/A,N/A
158,32883,8/21/2018,2:30:00 AM,8/21/2018,2:30:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,12,0,0,22,N/A,N/A
159,32883,8/21/2018,2:35:00 AM,8/21/2018,2:35:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,10,0,0,23,N/A,N/A
160,32883,8/21/2018,2:40:00 AM,8/21/2018,2:40:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,9,0,0,23,N/A,N/A
161,32883,8/21/2018,2:45:00 AM,8/21/2018,2:45:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,7,0,0,23,N/A,N/A
162,32883,8/21/2018,2:50:00 AM,8/21/2018,2:50:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,9,0,0,24,N/A,N/A
163,32883,8/21/2018,2:55:00 AM,8/21/2018,2:55:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,10,0,0,24,N/A,N/A
164,32883,8/21/2018,3:00:00 AM,8/21/2018,3:00:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,9,0,0,25,N/A,N/A
165,32883,8/21/2018,3:05:00 AM,8/21/2018,3:05:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,8,0,0,25,N/A,N/A
166,32883,8/21/2018,3:10:00 AM,8/21/2018,3:10:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,8,0,0,25,N/A,N/A
167,32883,8/21/2018,3:15:00 AM,8/21/2018,3:15:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,8,0,0,26,N/A,N/A
168,32883,8/21/2018,3:20:00 AM,8/21/2018,3:20:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,10,0,0,26,N/A,N/A
169,32883,8/21/2018,3:25:00 AM,8/21/2018,3:25:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,7,0,0,26,N/A,N/A
170,32883,8/21/2018,3:30:00 AM,8/21/2018,3:30:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,8,0,0,27,N/A,N/A
171,32883,8/21/2018,3:35:00 AM,8/21/2018,3:35:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,7,0,0,27,N/A,N/A
172,32883,8/21/2018,3:40:00 AM,8/21/2018,3:40:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,8,0,0,27,N/A,N/A
173,32883,8/21/2018,3:45:00 AM,8/21/2018,3:45:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,6,0,0,28,N/A,N/A
174,32883,8/21/2018,3:50:00 AM,8/21/2018,3:50:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,4,0,0,28,N/A,N/A
175,32883,8/21/2018,3:55:00 AM,8/21/2018,3:55:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,6,0,0,29,N/A,N/A
176,32883,8/21/2018,4:00:00 AM,8/21/2018,4:00:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,5,0,0,29,N/A,N/A
177,32883,8/21/2018,4:05:00 AM,8/21/2018,4:05:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,4,0,0,29,N/A,N/A
178,32883,8/21/2018,4:10:00 AM,8/21/2018,4:10:00 AM,Collar,3/12/2019,7:55:31 PM,1,300,5,0,0,30,N/A,N/A
