Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio,Heart Rate (bpm)
2025-03-26 17:00:29.89,2025-03-26 13:00:29.89,0,34.685492,-76.526801,37.23336330264017,2.50551064610481,3.034494545333012,0,-1,0,-1,100.5416564941406,110.9516067504883,11.26958465576172,353.6457762268618,0
2025-03-26 17:00:29.89,2025-03-26 13:00:29.89,0,34.685492,-76.526801,37.23336330264017,2.50551064610481,3.034494545333012,0,-1,0,-1,100.5416564941406,110.9516067504883,11.26958465576172,353.6457762268618,0
2025-03-26 17:00:29.89,2025-03-26 13:00:29.89,0,34.685492,-76.526801,37.23336330264017,2.50551064610481,3.034494545333012,0,-1,0,-1,100.5416564941406,110.9516067504883,11.26958465576172,353.6457762268618,0
2025-03-26 17:00:32.13,2025-03-26 13:00:32.13,1.014623045921326,34.685409,-76.526807,13.12092446881509,2.420070648193359,6,0,0.8399999737739563,0,52.03125,97.19296264648438,107.6029205322266,11.27772617340088,392.7261559444976,0
2025-03-26 17:00:32.13,2025-03-26 13:00:32.13,1.014623045921326,34.685409,-76.526807,13.12092446881509,2.420070648193359,6,0,0.8399999737739563,0,52.03125,97.19296264648438,107.6029205322266,11.27772617340088,392.7261559444976,0
2025-03-26 17:00:32.13,2025-03-26 13:00:32.13,1.014623045921326,34.685409,-76.526807,13.12092446881509,2.420070648193359,6,0,0.8399999737739563,0,52.03125,97.19296264648438,107.6029205322266,11.27772617340088,392.7261559444976,0
2025-03-26 17:07:39.99,2025-03-26 13:07:39.99,429.504094004631,34.685373,-76.526846,12.20442700213895,3.846739902161062,10.16176632625711,0,0,0,176.1240538954327,139.7591247558594,150.1690826416016,11.62926292419434,-14.75864641501266,0
2025-03-26 17:07:39.99,2025-03-26 13:07:39.99,429.504094004631,34.685373,-76.526846,12.20442700213895,3.846739902161062,10.16176632625711,0,0,0,176.1240538954327,139.7591247558594,150.1690826416016,11.62926292419434,-14.75864641501266,0
2025-03-26 17:07:39.99,2025-03-26 13:07:39.99,429.504094004631,34.685373,-76.526846,12.20442700213895,3.846739902161062,10.16176632625711,0,0,0,176.1240538954327,139.7591247558594,150.1690826416016,11.62926292419434,-14.75864641501266,0
2025-03-26 17:07:44.99,2025-03-26 13:07:44.99,429.7665710449219,34.685377,-76.526847,12.47047983202162,3.852988701313734,10.59172675946086,0,0.04091199806521992,0,176.1240528620591,138.54638671875,148.9563446044922,11.46246242523193,-136.0122035849699,0
2025-03-26 17:07:44.99,2025-03-26 13:07:44.99,429.7665710449219,34.685377,-76.526847,12.47047983202162,3.852988701313734,10.59172675946086,0,0.04091199806521992,0,176.1240528620591,138.54638671875,148.9563446044922,11.46246242523193,-136.0122035849699,0
2025-03-26 17:07:44.99,2025-03-26 13:07:44.99,429.7665710449219,34.685377,-76.526847,12.47047983202162,3.852988701313734,10.59172675946086,0,0.04091199806521992,0,176.1240528620591,138.54638671875,148.9563446044922,11.46246242523193,-136.0122035849699,0
2025-03-26 17:18:07.66,2025-03-26 13:18:07.66,429.7665710449219,34.685501,-76.526555,699.3408632677902,2.50551064610481,3.413182419279902,0,-1,0,-1,358.3492126464844,8.759173393249512,11.23754501342773,-74.86286905554994,0
2025-03-26 17:18:07.66,2025-03-26 13:18:07.66,429.7665710449219,34.685501,-76.526555,699.3408632677902,2.50551064610481,3.413182419279902,0,-1,0,-1,358.3492126464844,8.759173393249512,11.23754501342773,-74.86286905554994,0
2025-03-26 17:18:07.66,2025-03-26 13:18:07.66,429.7665710449219,34.685501,-76.526555,699.3408632677902,2.50551064610481,3.413182419279902,0,-1,0,-1,358.3492126464844,8.759173393249512,11.23754501342773,-74.86286905554994,0
2025-03-26 17:18:10.12,2025-03-26 13:18:10.12,429.7665710449219,34.685409,-76.526550,13.99731339462359,11.22414779663086,12,23.58808089837884,0.4399999976158142,0,52.03125,359.4264221191406,9.836361885070801,11.23974132537842,-69.45353713053035,0
2025-03-26 17:18:10.12,2025-03-26 13:18:10.12,429.7665710449219,34.685409,-76.526550,13.99731339462359,11.22414779663086,12,23.58808089837884,0.4399999976158142,0,52.03125,359.4264221191406,9.836361885070801,11.23974132537842,-69.45353713053035,0
2025-03-26 17:18:10.12,2025-03-26 13:18:10.12,429.7665710449219,34.685409,-76.526550,13.99731339462359,11.22414779663086,12,23.58808089837884,0.4399999976158142,0,52.03125,359.4264221191406,9.836361885070801,11.23974132537842,-69.45353713053035,0
2025-03-26 17:18:51.99,2025-03-26 13:18:51.99,471.7729511260986,34.685430,-76.526658,6.051721853094281,3.073023065924644,3.365150996948206,33.7788337240649,0.08240806288261776,0.4793190995840502,-1,0.5338134765625,10.94376754760742,11.27097129821777,-26.39937829357451,0
2025-03-26 17:18:51.99,2025-03-26 13:18:51.99,471.7729511260986,34.685430,-76.526658,6.051721853094281,3.073023065924644,3.365150996948206,33.7788337240649,0.08240806288261776,0.4793190995840502,-1,0.5338134765625,10.94376754760742,11.27097129821777,-26.39937829357451,0
2025-03-26 17:18:51.99,2025-03-26 13:18:51.99,471.7729511260986,34.685430,-76.526658,6.051721853094281,3.073023065924644,3.365150996948206,33.7788337240649,0.08240806288261776,0.4793190995840502,-1,0.5338134765625,10.94376754760742,11.27097129821777,-26.39937829357451,0
2025-03-26 17:21:09.99,2025-03-26 13:21:09.99,609.7684160470963,34.685360,-76.526568,12.09065486331385,2.216627284884453,6.620509758208885,45.12968330538578,1.701454031778147,0.7996405727813322,132.762253814318,0.5338134765625,10.94376754760742,11.27097129821777,-109.6825148086326,0
2025-03-26 17:21:09.99,2025-03-26 13:21:09.99,609.7684160470963,34.685360,-76.526568,12.09065486331385,2.216627284884453,6.620509758208885,45.12968330538578,1.701454031778147,0.7996405727813322,132.762253814318,0.5338134765625,10.94376754760742,11.27097129821777,-109.6825148086326,0
2025-03-26 17:21:09.99,2025-03-26 13:21:09.99,609.7684160470963,34.685360,-76.526568,12.09065486331385,2.216627284884453,6.620509758208885,45.12968330538578,1.701454031778147,0.7996405727813322,132.762253814318,0.5338134765625,10.94376754760742,11.27097129821777,-109.6825148086326,0
2025-03-26 17:21:14.99,2025-03-26 13:21:14.99,614.7676200866699,34.685295,-76.526485,11.53912851888676,2.942786134779453,6.70421675059647,55.60934589277592,2.005914830274744,2.534119066872448,140.8575708851311,0.5338134765625,10.94376754760742,11.27097129821777,-89.27416278861462,0
2025-03-26 17:21:14.99,2025-03-26 13:21:14.99,614.7676200866699,34.685295,-76.526485,11.53912851888676,2.942786134779453,6.70421675059647,55.60934589277592,2.005914830274744,2.534119066872448,140.8575708851311,0.5338134765625,10.94376754760742,11.27097129821777,-89.27416278861462,0
2025-03-26 17:21:14.99,2025-03-26 13:21:14.99,614.7676200866699,34.685295,-76.526485,11.53912851888676,2.942786134779453,6.70421675059647,55.60934589277592,2.005914830274744,2.534119066872448,140.8575708851311,0.5338134765625,10.94376754760742,11.27097129821777,-89.27416278861462,0
2025-03-26 17:21:27.99,2025-03-26 13:21:27.99,627.7688291072845,34.685239,-76.526393,10.2186731428917,2.477032439783216,5.234829711499843,66.0723370407073,1.422389053007784,0.5599652838264856,94.00990268026544,0.5338134765625,10.94376754760742,11.27097129821777,88.99363710154665,0
2025-03-26 17:21:27.99,2025-03-26 13:21:27.99,627.7688291072845,34.685239,-76.526393,10.2186731428917,2.477032439783216,5.234829711499843,66.0723370407073,1.422389053007784,0.5599652838264856,94.00990268026544,0.5338134765625,10.94376754760742,11.27097129821777,88.99363710154665,0
2025-03-26 17:21:27.99,2025-03-26 13:21:27.99,627.7688291072845,34.685239,-76.526393,10.2186731428917,2.477032439783216,5.234829711499843,66.0723370407073,1.422389053007784,0.5599652838264856,94.00990268026544,0.5338134765625,10.94376754760742,11.27097129821777,88.99363710154665,0
2025-03-26 17:21:33.99,2025-03-26 13:21:33.99,633.7689660787582,34.685204,-76.526242,11.05773449393171,2.599703456275165,5.027362818532845,80.47222853721141,2.587338191469222,1.681281618100748,115.7319587597285,0.5338134765625,10.94376754760742,11.27097129821777,-134.1522738364662,0
2025-03-26 17:21:33.99,2025-03-26 13:21:33.99,633.7689660787582,34.685204,-76.526242,11.05773449393171,2.599703456275165,5.027362818532845,80.47222853721141,2.587338191469222,1.681281618100748,115.7319587597285,0.5338134765625,10.94376754760742,11.27097129821777,-134.1522738364662,0
2025-03-26 17:21:33.99,2025-03-26 13:21:33.99,633.7689660787582,34.685204,-76.526242,11.05773449393171,2.599703456275165,5.027362818532845,80.47222853721141,2.587338191469222,1.681281618100748,115.7319587597285,0.5338134765625,10.94376754760742,11.27097129821777,-134.1522738364662,0
2025-03-26 17:21:37.99,2025-03-26 13:21:37.99,637.7699861526489,34.685150,-76.526129,11.36688225080323,2.289683549664915,5.136940775679965,92.39464131847281,2.897388616908663,1.681281618100748,116.4848530797906,0.5338134765625,10.94376754760742,11.27097129821777,-1304.350178321561,0
2025-03-26 17:21:37.99,2025-03-26 13:21:37.99,637.7699861526489,34.685150,-76.526129,11.36688225080323,2.289683549664915,5.136940775679965,92.39464131847281,2.897388616908663,1.681281618100748,116.4848530797906,0.5338134765625,10.94376754760742,11.27097129821777,-1304.350178321561,0
2025-03-26 17:21:37.99,2025-03-26 13:21:37.99,637.7699861526489,34.685150,-76.526129,11.36688225080323,2.289683549664915,5.136940775679965,92.39464131847281,2.897388616908663,1.681281618100748,116.4848530797906,0.5338134765625,10.94376754760742,11.27097129821777,-1304.350178321561,0
2025-03-26 17:21:41.99,2025-03-26 13:21:41.99,641.7693910598755,34.685111,-76.526017,10.82677191751105,2.525115789845586,4.937024010800449,103.5353208654619,2.739190722684327,3.307587484626819,113.7191100792851,0.5338134765625,10.94376754760742,11.27097129821777,-161.8645222633293,0
2025-03-26 17:21:41.99,2025-03-26 13:21:41.99,641.7693910598755,34.685111,-76.526017,10.82677191751105,2.525115789845586,4.937024010800449,103.5353208654619,2.739190722684327,3.307587484626819,113.7191100792851,0.5338134765625,10.94376754760742,11.27097129821777,-161.8645222633293,0
2025-03-26 17:21:41.99,2025-03-26 13:21:41.99,641.7693910598755,34.685111,-76.526017,10.82677191751105,2.525115789845586,4.937024010800449,103.5353208654619,2.739190722684327,3.307587484626819,113.7191100792851,0.5338134765625,10.94376754760742,11.27097129821777,-161.8645222633293,0
2025-03-26 17:21:51.99,2025-03-26 13:21:51.99,651.7678420543671,34.685055,-76.525894,8.172141184299827,2.531321975402534,5.96644035262264,116.4162526275967,2.223872487231777,2.25398278225306,129.5549606441703,0.5338134765625,10.94376754760742,11.27097129821777,656.4520998436685,0
2025-03-26 17:21:51.99,2025-03-26 13:21:51.99,651.7678420543671,34.685055,-76.525894,8.172141184299827,2.531321975402534,5.96644035262264,116.4162526275967,2.223872487231777,2.25398278225306,129.5549606441703,0.5338134765625,10.94376754760742,11.27097129821777,656.4520998436685,0
2025-03-26 17:21:51.99,2025-03-26 13:21:51.99,651.7678420543671,34.685055,-76.525894,8.172141184299827,2.531321975402534,5.96644035262264,116.4162526275967,2.223872487231777,2.25398278225306,129.5549606441703,0.5338134765625,10.94376754760742,11.27097129821777,656.4520998436685,0
2025-03-26 17:21:52.99,2025-03-26 13:21:52.99,652.768835067749,34.684991,-76.525787,10.27516417221008,2.501046453602612,6.440910705746839,128.5262373228545,2.316234457433615,2.25398278225306,138.1892905517799,0.5338134765625,10.94376754760742,11.27097129821777,334.3502090707686,0
2025-03-26 17:21:52.99,2025-03-26 13:21:52.99,652.768835067749,34.684991,-76.525787,10.27516417221008,2.501046453602612,6.440910705746839,128.5262373228545,2.316234457433615,2.25398278225306,138.1892905517799,0.5338134765625,10.94376754760742,11.27097129821777,334.3502090707686,0
2025-03-26 17:21:52.99,2025-03-26 13:21:52.99,652.768835067749,34.684991,-76.525787,10.27516417221008,2.501046453602612,6.440910705746839,128.5262373228545,2.316234457433615,2.25398278225306,138.1892905517799,0.5338134765625,10.94376754760742,11.27097129821777,334.3502090707686,0
2025-03-26 17:21:56.99,2025-03-26 13:21:56.99,656.7682480812073,34.684881,-76.525730,10.12092896065233,2.839127283543348,6.719077876926711,141.7894867088944,3.15064508241782,3.574965036345655,159.3989624389195,0.5338134765625,10.94376754760742,11.27097129821777,126.746244768141,0
2025-03-26 17:21:56.99,2025-03-26 13:21:56.99,656.7682480812073,34.684881,-76.525730,10.12092896065233,2.839127283543348,6.719077876926711,141.7894867088944,3.15064508241782,3.574965036345655,159.3989624389195,0.5338134765625,10.94376754760742,11.27097129821777,126.746244768141,0
2025-03-26 17:21:56.99,2025-03-26 13:21:56.99,656.7682480812073,34.684881,-76.525730,10.12092896065233,2.839127283543348,6.719077876926711,141.7894867088944,3.15064508241782,3.574965036345655,159.3989624389195,0.5338134765625,10.94376754760742,11.27097129821777,126.746244768141,0
2025-03-26 17:21:59.99,2025-03-26 13:21:59.99,659.7692950963974,34.684767,-76.525704,10.14218909159743,3.030395063571632,7.000564593169595,154.6299323955627,4.009397329752955,3.441957983964937,171.0920773923897,0.5338134765625,10.94376754760742,11.27097129821777,113.7305282154463,0
2025-03-26 17:21:59.99,2025-03-26 13:21:59.99,659.7692950963974,34.684767,-76.525704,10.14218909159743,3.030395063571632,7.000564593169595,154.6299323955627,4.009397329752955,3.441957983964937,171.0920773923897,0.5338134765625,10.94376754760742,11.27097129821777,113.7305282154463,0
2025-03-26 17:21:59.99,2025-03-26 13:21:59.99,659.7692950963974,34.684767,-76.525704,10.14218909159743,3.030395063571632,7.000564593169595,154.6299323955627,4.009397329752955,3.441957983964937,171.0920773923897,0.5338134765625,10.94376754760742,11.27097129821777,113.7305282154463,0
2025-03-26 17:22:01.99,2025-03-26 13:22:01.99,661.768462061882,34.684672,-76.525693,9.962952501661976,2.961968787945807,7.089102472236269,165.3013192401127,5.061326019430458,3.441957983964937,174.607733561138,0.5338134765625,10.94376754760742,11.27097129821777,86.18112104698895,0
2025-03-26 17:22:01.99,2025-03-26 13:22:01.99,661.768462061882,34.684672,-76.525693,9.962952501661976,2.961968787945807,7.089102472236269,165.3013192401127,5.061326019430458,3.441957983964937,174.607733561138,0.5338134765625,10.94376754760742,11.27097129821777,86.18112104698895,0
2025-03-26 17:22:01.99,2025-03-26 13:22:01.99,661.768462061882,34.684672,-76.525693,9.962952501661976,2.961968787945807,7.089102472236269,165.3013192401127,5.061326019430458,3.441957983964937,174.607733561138,0.5338134765625,10.94376754760742,11.27097129821777,86.18112104698895,0
2025-03-26 17:22:03.99,2025-03-26 13:22:03.99,663.7684811353683,34.684560,-76.525676,9.694990431126211,2.99976674374193,7.090737277570677,177.7633795377977,5.881380395627811,5.263106686380628,173.3924096517058,0.5338134765625,10.94376754760742,11.27097129821777,127.8472139682117,0
2025-03-26 17:22:03.99,2025-03-26 13:22:03.99,663.7684811353683,34.684560,-76.525676,9.694990431126211,2.99976674374193,7.090737277570677,177.7633795377977,5.881380395627811,5.263106686380628,173.3924096517058,0.5338134765625,10.94376754760742,11.27097129821777,127.8472139682117,0
2025-03-26 17:22:03.99,2025-03-26 13:22:03.99,663.7684811353683,34.684560,-76.525676,9.694990431126211,2.99976674374193,7.090737277570677,177.7633795377977,5.881380395627811,5.263106686380628,173.3924096517058,0.5338134765625,10.94376754760742,11.27097129821777,127.8472139682117,0
2025-03-26 17:22:05.99,2025-03-26 13:22:05.99,665.7659710645676,34.684433,-76.525656,9.9905032247481,3.13203698489815,7.360119421708102,191.9800008441107,6.869730772383354,6.609340014953614,172.7392374951149,0.5338134765625,10.94376754760742,11.27097129821777,181.3600940238855,0
2025-03-26 17:22:05.99,2025-03-26 13:22:05.99,665.7659710645676,34.684433,-76.525656,9.9905032247481,3.13203698489815,7.360119421708102,191.9800008441107,6.869730772383354,6.609340014953614,172.7392374951149,0.5338134765625,10.94376754760742,11.27097129821777,181.3600940238855,0
2025-03-26 17:22:05.99,2025-03-26 13:22:05.99,665.7659710645676,34.684433,-76.525656,9.9905032247481,3.13203698489815,7.360119421708102,191.9800008441107,6.869730772383354,6.609340014953614,172.7392374951149,0.5338134765625,10.94376754760742,11.27097129821777,181.3600940238855,0
2025-03-26 17:22:07.99,2025-03-26 13:22:07.99,667.7668360471725,34.684291,-76.525628,11.04963952530246,3.328418649733067,8.19707558408785,207.9033833356778,7.752749282511805,7.522014348919189,171.4008657159517,0.5338134765625,10.94376754760742,11.27097129821777,127.1689871924179,0
2025-03-26 17:22:07.99,2025-03-26 13:22:07.99,667.7668360471725,34.684291,-76.525628,11.04963952530246,3.328418649733067,8.19707558408785,207.9033833356778,7.752749282511805,7.522014348919189,171.4008657159517,0.5338134765625,10.94376754760742,11.27097129821777,127.1689871924179,0
2025-03-26 17:22:07.99,2025-03-26 13:22:07.99,667.7668360471725,34.684291,-76.525628,11.04963952530246,3.328418649733067,8.19707558408785,207.9033833356778,7.752749282511805,7.522014348919189,171.4008657159517,0.5338134765625,10.94376754760742,11.27097129821777,127.1689871924179,0
2025-03-26 17:22:09.99,2025-03-26 13:22:09.99,669.7672780752182,34.684139,-76.525603,11.01701578899337,3.021157711744308,8.05655087112083,224.9547494472319,8.506180293713619,8.141165366433977,171.5851451508479,0.5338134765625,10.94376754760742,11.27097129821777,164.9575942147755,0
2025-03-26 17:22:09.99,2025-03-26 13:22:09.99,669.7672780752182,34.684139,-76.525603,11.01701578899337,3.021157711744308,8.05655087112083,224.9547494472319,8.506180293713619,8.141165366433977,171.5851451508479,0.5338134765625,10.94376754760742,11.27097129821777,164.9575942147755,0
2025-03-26 17:22:09.99,2025-03-26 13:22:09.99,669.7672780752182,34.684139,-76.525603,11.01701578899337,3.021157711744308,8.05655087112083,224.9547494472319,8.506180293713619,8.141165366433977,171.5851451508479,0.5338134765625,10.94376754760742,11.27097129821777,164.9575942147755,0
2025-03-26 17:22:11.99,2025-03-26 13:22:11.99,671.7682280540466,34.683974,-76.525574,8.755569211399848,2.076031124219298,6.272283806972421,243.4103095608692,9.168360205369384,9.088823883343991,171.6844397467014,0.5338134765625,10.94376754760742,11.27097129821777,1102.895148553689,0
