No,CollarID,UTC_Date,UTC_Time,LMT_Date,LMT_Time,Origin,SCTS_Date,SCTS_Time,Act.Mode,DT,ActivityX,ActivityY,ActivityZ,Temp [°C],AnimalID,GroupID
1,32733,6/21/2022,6:55:00 AM,6/21/2022,6:55:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,44,36,0,23,N/A,N/A
2,32733,6/21/2022,7:00:00 AM,6/21/2022,7:00:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,22,N/A,N/A
3,32733,6/21/2022,7:05:00 AM,6/21/2022,7:05:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,20,N/A,N/A
4,32733,6/21/2022,7:10:00 AM,6/21/2022,7:10:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,18,N/A,N/A
5,32733,6/21/2022,7:15:00 AM,6/21/2022,7:15:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
6,32733,6/21/2022,7:20:00 AM,6/21/2022,7:20:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
7,32733,6/21/2022,7:25:00 AM,6/21/2022,7:25:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
8,32733,6/21/2022,7:30:00 AM,6/21/2022,7:30:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
9,32733,6/21/2022,7:35:00 AM,6/21/2022,7:35:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
10,32733,6/21/2022,7:40:00 AM,6/21/2022,7:40:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
11,32733,6/21/2022,7:45:00 AM,6/21/2022,7:45:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
12,32733,6/21/2022,7:50:00 AM,6/21/2022,7:50:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
13,32733,6/21/2022,7:55:00 AM,6/21/2022,7:55:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
14,32733,6/21/2022,8:00:00 AM,6/21/2022,8:00:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
15,32733,6/21/2022,8:05:00 AM,6/21/2022,8:05:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
16,32733,6/21/2022,8:10:00 AM,6/21/2022,8:10:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
17,32733,6/21/2022,8:15:00 AM,6/21/2022,8:15:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
18,32733,6/21/2022,8:20:00 AM,6/21/2022,8:20:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,16,N/A,N/A
19,32733,6/21/2022,8:25:00 AM,6/21/2022,8:25:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
20,32733,6/21/2022,8:30:00 AM,6/21/2022,8:30:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
21,32733,6/21/2022,8:35:00 AM,6/21/2022,8:35:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
22,32733,6/21/2022,8:40:00 AM,6/21/2022,8:40:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
23,32733,6/21/2022,8:45:00 AM,6/21/2022,8:45:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
24,32733,6/21/2022,8:50:00 AM,6/21/2022,8:50:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,17,N/A,N/A
25,32733,6/21/2022,8:55:00 AM,6/21/2022,8:55:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,18,N/A,N/A
26,32733,6/21/2022,9:00:00 AM,6/21/2022,9:00:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,18,N/A,N/A
27,32733,6/21/2022,9:05:00 AM,6/21/2022,9:05:00 AM,Collar,4/1/2026,2:36:03 PM,1,300,0,0,0,18,N/A,N/A
