,deployment_id,tag_id,individual_id,animal_life_stage,attachment_type,deploy_off_timestamp,deploy_on_timestamp,deployment_end_comments,duty_cycle,deployment_local_identifier,study_site,sensor_type_ids,death_comments,individual_local_identifier,sex,taxon_canonical_name,tag_local_identifier,manufacturer_name,model,study_id
19,3568311136,3568311066,3568311029,9 years,collar,12/25/2010 23:59,10/16/2010,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30068_OleNagol,Athi-Kaputiei Plains,gps,predated,Ole Nagol,f,Connochaetes taurinus,30068,Lotek,WildCell GPS,208413731
20,3568311117,3568311067,3568311033,10 years,collar,10/8/2012,10/12/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30069_Reiyo,Amboseli Basin,gps,NA,Reiyo,f,Connochaetes taurinus,30069,Lotek,WildCell GPS,208413731
21,3568311128,3568311068,3568311034,8 years,collar,6/14/2011 23:59,10/20/2010,poached,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30070_Sawani,Athi-Kaputiei Plains,gps,poached,Sawani,f,Connochaetes taurinus,30070,Lotek,WildCell GPS,208413731
22,3568311119,3568311069,3568311032,9 years,collar,1/11/2013 23:59,10/19/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30071_Peria,Athi-Kaputiei Plains,gps,NA,Peria,f,Connochaetes taurinus,30071,Lotek,WildCell GPS,208413731
23,3568311099,3568311070,3568311031,9 years,collar,10/19/2012,10/18/2010,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30072_Paita,Athi-Kaputiei Plains,gps,NA,Paita,f,Connochaetes taurinus,30072,Lotek,WildCell GPS,208413731
24,3568311125,3568311071,3568311023,7 years,collar,1/15/2013 23:59,10/10/2010,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30073_Nentepesi,Amboseli Basin,gps,predated,Nentepesi,f,Connochaetes taurinus,30073,Lotek,WildCell GPS,208413731
25,3568311132,3568311072,3568311027,9 years,collar,1/15/2013 23:59,10/16/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30074_Noontare,Athi-Kaputiei Plains,gps,NA,Noontare,f,Connochaetes taurinus,30074,Lotek,WildCell GPS,208413731
26,3568311131,3568311073,3568311024,6 years,collar,4/7/2012,10/10/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30075_Nesimei,Amboseli Basin,gps,NA,Nesimei,f,Connochaetes taurinus,30075,Lotek,WildCell GPS,208413731
27,3568311127,3568311074,3568311021,10 years,collar,10/29/2012,10/11/2010,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30076_Nenkitirua,Amboseli Basin,gps,NA,Nenkitirua,f,Connochaetes taurinus,30076,Lotek,WildCell GPS,208413731
28,3568311111,3568311075,3568311028,10 years,collar,11/20/2012 23:59,10/19/2010,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30077_Ntishya,Athi-Kaputiei Plains,gps,NA,Ntishya,f,Connochaetes taurinus,30077,Lotek,WildCell GPS,208413731
29,3568311106,3568311076,3568311022,10 years,collar,2/16/2011 23:59,10/11/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30078_NenkonguNarok,Amboseli Basin,gps,NA,Nenkongu Narok,f,Connochaetes taurinus,30078,Lotek,WildCell GPS,208413731
30,3568311133,3568311077,3568311003,9 years,collar,10/17/2012 23:59,10/20/2010 21:01,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30079_Kikaya,Athi-Kaputiei Plains,gps,NA,Kikaya,f,Connochaetes taurinus,30079,Lotek,WildCell GPS,208413731
31,3568311108,3568311078,3568311012,8 years,collar,12/12/2010 23:59,10/10/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30081_Lerisa,Amboseli Basin,gps,NA,Lerisa,m,Connochaetes taurinus,30081,Lotek,WildCell GPS,208413731
32,3568311110,3568311079,3568311004,10 years,collar,1/15/2013 23:59,10/17/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30082_Kiranto,Athi-Kaputiei Plains,gps,NA,Kiranto,m,Connochaetes taurinus,30082,Lotek,WildCell GPS,208413731
33,3568311135,3568311080,3568311011,9 years,collar,6/1/2011 23:59,10/12/2010,poached,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30083_Leporana,Amboseli Basin,gps,poached,Leporana,m,Connochaetes taurinus,30083,Lotek,WildCell GPS,208413731
34,3568311114,3568311081,3568311001,8 years,collar,12/8/2011 23:59,10/19/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30084_Karbolo,Athi-Kaputiei Plains,gps,NA,Karbolo,m,Connochaetes taurinus,30084,Lotek,WildCell GPS,208413731
35,3568311101,3568311082,3568311010,8 years,collar,6/10/2012 23:59,10/11/2010,dead,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30085_Lengaruani,Amboseli Basin,gps,dead,Lengaruani,m,Connochaetes taurinus,30085,Lotek,WildCell GPS,208413731
36,3568311105,3568311083,3568311019,10 years,collar,2/5/2012,10/16/2010,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30086_NeMpaash,Athi-Kaputiei Plains,gps,NA,Ne Mpaash,m,Connochaetes taurinus,30086,Lotek,WildCell GPS,208413731
